model,logN,num_cores,cut_position,forward_time_total,backprop_time_total
bcwfc,,24,1,1.9999999999999998e-05,2.6666666666666667e-05
bcwfc,,24,2,1.5e-05,2.3333333333333332e-05
bcwfc,,24,3,6.666666666666667e-06,8.333333333333334e-06
bcwfc,,24,4,0.0,0.0
bcwfc,,30,0,3.2e-05,3.733333333333333e-05
bcwfc,,30,1,1.6e-05,2.133333333333333e-05
bcwfc,,30,2,1.2e-05,1.8666666666666665e-05
bcwfc,,30,3,5.333333333333333e-06,6.666666666666666e-06
bcwfc,,30,4,0.0,0.0
bcwfc,13,6,0,0.0,0.0
bcwfc,13,6,1,2.4699733333333334,0.9881066666666668
bcwfc,13,6,2,2.605046666666667,1.2128166666666669
bcwfc,13,6,3,3.4141600000000003,1.90981
bcwfc,13,6,4,3.97892,2.5344166666666665
bcwfc,13,24,0,0.0,0.0
bcwfc,13,24,1,0.6174933333333333,0.2470266666666667
bcwfc,13,24,2,0.6512616666666667,0.3032041666666667
bcwfc,13,24,3,0.8535400000000001,0.4774525
bcwfc,13,24,4,0.99473,0.6336041666666666
bcwfc,13,30,0,0.0,0.0
bcwfc,13,30,1,0.49399466666666664,0.19762133333333334
bcwfc,13,30,2,0.5210093333333333,0.24256333333333335
bcwfc,13,30,3,0.682832,0.38196199999999997
bcwfc,13,30,4,0.7957839999999999,0.5068833333333332
lenet,,6,0,0.006738666666666667,0.018879000000000003
lenet,,6,1,0.005925666666666667,0.016901
lenet,,6,2,0.005885666666666667,0.016881
lenet,,6,3,0.0005666666666666667,0.00208
lenet,,6,4,0.00035999999999999997,0.0016733333333333333
lenet,,6,5,4.6666666666666665e-05,7.333333333333333e-05
lenet,,6,6,0.0,0.0
lenet,,24,0,0.0051786666666666665,0.014377000000000001
lenet,,24,1,0.004731666666666666,0.013182000000000001
lenet,,24,2,0.0047216666666666665,0.013177000000000001
lenet,,24,3,0.00014166666666666668,0.00052
lenet,,24,4,8.999999999999999e-05,0.00041833333333333333
lenet,,24,5,1.1666666666666666e-05,1.8333333333333333e-05
lenet,,24,6,0.0,0.0
lenet,,30,0,0.008632333333333336,0.021729000000000002
lenet,,30,1,0.008184333333333335,0.020526000000000003
lenet,,30,2,0.008176333333333336,0.020522000000000002
lenet,,30,3,0.00011333333333333331,0.000416
lenet,,30,4,7.199999999999999e-05,0.00033466666666666665
lenet,,30,5,9.333333333333333e-06,1.4666666666666666e-05
lenet,,30,6,0.0,0.0
lenet,13,6,0,0.0,0.0
lenet,13,6,1,0.8322400000000001,1.0306866666666668
lenet,13,6,2,1.07414,1.4488783333333333
lenet,13,6,3,1.9247666666666672,5.9710383333333334
lenet,13,6,4,11.733880000000001,9.978525000000001
lenet,13,6,5,17.793446666666668,12.920145000000002
lenet,13,6,6,18.978093333333337,14.086745
lenet,13,24,0,0.0,0.0
lenet,13,24,1,0.20806000000000002,0.2576716666666667
lenet,13,24,2,0.268535,0.3622195833333333
lenet,13,24,3,0.4811916666666668,1.4927595833333334
lenet,13,24,4,2.9334700000000002,2.4946312500000003
lenet,13,24,5,4.448361666666667,3.2300362500000004
lenet,13,24,6,4.744523333333334,3.52168625
lenet,13,30,0,0.0,0.0
lenet,13,30,1,0.16644799999999998,0.2061373333333333
lenet,13,30,2,0.21482800000000002,0.28977566666666665
lenet,13,30,3,0.38495333333333337,1.1942076666666666
lenet,13,30,4,2.346776,1.995705
lenet,13,30,5,3.5586893333333336,2.584029
lenet,13,30,6,3.795618666666667,2.817349
mnistfc,,6,0,0.0044866666666666674,0.02082
mnistfc,,6,1,0.00022666666666666666,0.0008266666666666667
mnistfc,,6,2,0.00018666666666666666,0.0007933333333333334
mnistfc,,6,3,4e-05,5.333333333333333e-05
mnistfc,,6,4,0.0,0.0
mnistfc,,24,0,0.0011216666666666669,0.005205
