model,logN,num_cores,cut_position,forward_time_total,backprop_time_total
audio1d,13,8,3,0.3861193333333333,1.4531596666666666
audio1d,13,8,4,0.42174433333333333,1.5243816666666667
audio1d,13,8,5,1.3531543333333333,2.8741556666666668
audio1d,13,16,0,0.0,0.0
audio1d,13,16,1,0.066961,0.365353
audio1d,13,16,2,0.147013,0.508845
audio1d,13,16,3,0.190538,0.746324
audio1d,13,16,4,0.208133,0.782981
audio1d,13,16,5,0.737108,1.5039220000000002
audio1d,13,32,0,0.0,0.0
audio1d,13,32,1,0.030106,0.168989
audio1d,13,32,2,0.06840833333333333,0.24067366666666667
audio1d,13,32,3,0.08797733333333334,0.3505166666666667
audio1d,13,32,4,0.09655133333333334,0.3687706666666667
audio1d,13,32,5,0.34430533333333335,0.7190976666666666
audio1d,13,40,0,0.0,0.0
audio1d,13,40,1,0.027363,0.154494
audio1d,13,40,2,0.04633966666666667,0.18996999999999997
audio1d,13,40,3,0.06412566666666666,0.290392
audio1d,13,40,4,0.06828866666666666,0.299269
audio1d,13,40,5,0.19429866666666668,0.472188
bcwfc,,1,0,3.15e-05,5.6500000000000005e-05
bcwfc,,1,1,1.55e-05,3.0500000000000003e-05
bcwfc,,1,2,1.1e-05,2.8000000000000003e-05
bcwfc,,1,3,5e-06,1.1000000000000001e-05
bcwfc,,1,4,0.0,0.0
bcwfc,,2,0,3.55e-05,3.9999999999999996e-05
bcwfc,,2,1,1.65e-05,2.3e-05
bcwfc,,2,2,1.2e-05,1.9999999999999998e-05
bcwfc,,2,3,5e-06,8e-06
bcwfc,,2,4,0.0,0.0
bcwfc,,4,0,3.4500000000000005e-05,5.8e-05
bcwfc,,4,1,1.7500000000000002e-05,3.0000000000000004e-05
bcwfc,,4,2,1.1e-05,2.7e-05
bcwfc,,4,3,5e-06,9e-06
bcwfc,,4,4,0.0,0.0
bcwfc,,8,0,3.6500000000000006e-05,6.15e-05
bcwfc,,8,1,2.3500000000000002e-05,3.35e-05
bcwfc,,8,2,1.6000000000000003e-05,3e-05
bcwfc,,8,3,6e-06,1.1e-05
bcwfc,,8,4,0.0,0.0
bcwfc,,16,0,4.7e-05,6.45e-05
bcwfc,,16,1,2.4e-05,2.5500000000000003e-05
