model,logN,num_cores,cut_position,forward_time_total,backprop_time_total
audio1d,14,40,1,1.61239125,6.009410666666668
audio1d,14,40,2,1.68093625,6.084194500000001
audio1d,14,40,3,1.6808945,6.0841745000000005
audio1d,14,40,4,3.4596234999999997,13.960761000000002
audio1d,14,40,5,3.459575,13.960721
audio1d,14,40,6,4.693588,203.145431
audio1d,15,1,0,0.0001721666666666,0.0001954166666666
audio1d,15,1,1,3.1919056666666665,12.149005416666668
audio1d,15,1,2,3.3300068333333335,12.29144725
audio1d,15,1,3,3.3299748333333334,12.291437
audio1d,15,1,4,7.0049978333333325,28.643088500000005
audio1d,15,1,5,7.004969833333332,28.6430685
audio1d,15,1,6,9.589130833333332,424.3899495
audio1d,15,2,0,0.0001565,0.00023175
audio1d,15,2,1,3.811656,14.35175175
audio1d,15,2,2,3.978721666666667,14.529936083333332
audio1d,15,2,3,3.978686666666667,14.529925333333331
audio1d,15,2,4,8.414640666666667,34.24233233333334
audio1d,15,2,5,8.414610666666666,34.24231183333333
audio1d,15,2,6,11.542507666666667,523.2190818333333
audio1d,15,40,0,0.0002035,0.00028475
audio1d,15,40,1,3.490582,13.35965825
audio1d,15,40,2,3.642722333333333,13.516355083333332
audio1d,15,40,3,3.642675333333333,13.516335333333332
audio1d,15,40,4,7.803155333333333,31.075965333333336
audio1d,15,40,5,7.803105333333333,31.075922833333333
audio1d,15,40,6,10.659066833333332,450.9724998333333
audio1d,16,1,0,0.0001680833333333,0.0001834166666666
audio1d,16,1,1,6.236675083333334,25.915298416666666
audio1d,16,1,2,6.540236583333335,26.22879708333333
audio1d,16,1,3,6.540204333333334,26.22878733333333
audio1d,16,1,4,14.000710833333336,61.013389333333336
audio1d,16,1,5,14.000682833333334,61.013369833333336
audio1d,16,1,6,19.369054833333333,880.2349053333334
audio1d,16,2,0,0.0001824166666666,0.00024325
audio1d,16,2,1,6.451225916666666,26.555069250000003
audio1d,16,2,2,6.745295583333333,26.860786083333338
audio1d,16,2,3,6.745258833333334,26.860767833333338
audio1d,16,2,4,14.321013333333331,62.06676233333333
audio1d,16,2,5,14.320965333333332,62.06672233333333
audio1d,16,2,6,20.243355833333332,919.5309778333334
audio1d,16,40,0,0.0001509166666666,0.0002203333333333
audio1d,16,40,1,6.284918916666666,27.161834333333335
audio1d,16,40,2,6.59306275,27.47694016666667
audio1d,16,40,3,6.593030499999999,27.47692966666667
audio1d,16,40,4,14.2519335,63.03778916666667
audio1d,16,40,5,14.251906,63.03776966666667
audio1d,16,40,6,19.954627,921.3420531666666
bcwfc,13,1,0,0.002116625,5.2e-05
bcwfc,13,1,1,2.8747373749999996,8.958997250000001
bcwfc,13,1,2,2.9123758749999995,8.997555500000002
bcwfc,13,1,3,4.190961625,12.804490750000001
bcwfc,13,1,4,4.930668375,18.7298275
bcwfc,13,2,0,2.625e-05,4.7375e-05
bcwfc,13,2,1,2.9391612499999997,18.372858125
bcwfc,13,2,2,2.9777752499999997,18.4115915
bcwfc,13,2,3,4.24744775,22.278028499999998
bcwfc,13,2,4,5.004515,24.398480250000002
bcwfc,13,4,0,2.025e-05,4.875e-05
bcwfc,13,4,1,2.8270857499999997,8.752663250000001
bcwfc,13,4,2,2.864346,8.79089075
bcwfc,13,4,3,4.1165294999999995,12.63164975
bcwfc,13,4,4,4.87049,14.750981249999999
bcwfc,13,8,0,0.0006872499999999,4.575e-05
bcwfc,13,8,1,2.84546825,8.996529249999998
bcwfc,13,8,2,2.8824824999999996,9.034784250000001
bcwfc,13,8,3,4.165520500000001,12.804723749999999
bcwfc,13,8,4,4.908424000000001,19.524631749999998
bcwfc,13,16,0,1.95e-05,4.3249999999999994e-05
bcwfc,13,16,1,2.8301255,27.79943374999999
bcwfc,13,16,2,2.8674844999999998,27.837844499999996
bcwfc,13,16,3,4.1301585,31.693343999999996
bcwfc,13,16,4,4.886527,33.8133935
bcwfc,13,32,0,1.95e-05,3.975e-05
bcwfc,13,32,1,2.7999074999999998,28.127386249999997
bcwfc,13,32,2,2.83795275,28.166421749999998
bcwfc,13,32,3,4.08941025,32.00970125
bcwfc,13,32,4,4.84551575,34.137514749999994
bcwfc,13,40,0,2.025e-05,5.3875e-05
bcwfc,13,40,1,2.9543827499999997,18.668502375
bcwfc,13,40,2,2.9921382499999996,18.707476125
bcwfc,13,40,3,4.290929500000001,22.583814374999996
bcwfc,13,40,4,5.0503935,24.700044624999997
bcwfc,14,1,0,2.25e-05,5.1000000000000006e-05
bcwfc,14,1,1,7.430842,22.428565999999996
bcwfc,14,1,2,7.525171,22.527075500000002
bcwfc,14,1,3,10.5719415,32.125871
bcwfc,14,1,4,12.495896,37.567649
bcwfc,14,2,0,2.3e-05,6.625000000000001e-05
bcwfc,14,2,1,6.358132,19.26063225
bcwfc,14,2,2,6.443303500000001,19.34714075
bcwfc,14,2,3,9.2621895,27.80129125
bcwfc,14,2,4,10.89379,32.38196675
bcwfc,14,40,0,1.675e-05,3.65e-05
bcwfc,14,40,1,5.005216750000001,15.346749499999998
bcwfc,14,40,2,5.073440250000001,15.416618
bcwfc,14,40,3,7.300573750000001,22.270514499999997
bcwfc,14,40,4,8.687596749999999,26.131936
bcwfc,15,1,0,1.675e-05,4.25e-05
bcwfc,15,1,1,10.540102249999999,32.31256699999999
bcwfc,15,1,2,10.6790785,32.45569224999999
bcwfc,15,1,3,15.3522515,46.34236375
bcwfc,15,1,4,18.0734815,53.872882749999995
bcwfc,15,2,0,2e-05,4.9e-05
bcwfc,15,2,1,13.162139499999999,39.845705
bcwfc,15,2,2,13.32599925,40.019421
bcwfc,15,2,3,19.248883749999994,57.830805500000004
bcwfc,15,2,4,22.47294325,67.096684
bcwfc,15,40,0,2.15e-05,5.35e-05
bcwfc,15,40,1,11.1965445,34.69688199999999
bcwfc,15,40,2,11.3499685,34.85612599999999
bcwfc,15,40,3,16.6120225,49.99296
bcwfc,15,40,4,19.628095499999997,58.169647499999996
bcwfc,16,1,0,1.875e-05,3.875e-05
bcwfc,16,1,1,22.294843750000002,67.14508375
bcwfc,16,1,2,22.586378,67.44511125
bcwfc,16,1,3,32.2863645,96.33437675
bcwfc,16,1,4,38.1057425,112.75038725
bcwfc,16,2,0,1.525e-05,6.15e-05
bcwfc,16,2,1,22.48733325,69.5627165
bcwfc,16,2,2,22.799906,69.88124325
bcwfc,16,2,3,32.9788825,99.93720175
bcwfc,16,2,4,39.143549,116.60670575
bcwfc,16,40,0,1.775e-05,4.6e-05
bcwfc,16,40,1,22.752882249999995,71.1869795
